PoolNr;Year;Group_Site;Size [l];Position;RS ID;Habitat;KW;Date of Trapping;Start of Trapping;Species/Taxon;Females;Males;Bloodfed;Sum;Commants;Group;Site;Group Site;GPS X;GPS Y;RS Type;RS Type ID;RS Elevation Type;RS Tree Type;RS Tree ID;RS Tree Species;RS Number;RS Elevation;RS Orientation Opening;RS Orientation Tree;RS Downtilt [°];RS Minimal Distance Natural Breeding Place [m];RS Minimal Distance Building [m];RS Number Sea;RS Number Stream;RS Number Dig;RS Numer Anthropogen Waters;RS Number Underground Waters;RS Number Temporal Waters;RS Deciduous Forest [%];RS Coniferous Forest [%];RS Mixed Forest [%];RS Fallow Ground [%];RS Grassland (intensive/ extensive) [%];RS Agriculture [%];RS Park, Garden [%] ;RS Buildingarea Free [%];RS Buildingarea Nonfree [%];RS Shadow [%];Waters Sample Day;Waters Sample Time;Waters Watertype 1;Waters Watertype Number 1;Waters Watertype GPS N 1;Waters Watertype GPS E 1;Waters Watertype 2;Waters Watertype Number 2;Waters Watertype GPS N 2;Waters Watertype GPS E 2;Waters Watertype 3;Waters Watertype Number 3;Waters Watertype GPS N 3;Waters Watertype GPS E 3;Waters pH 1;Waters Leitfähigkeit [µS] 1;Waters Salinität 1;Waters Wasserhärte [°dH] 1;Waters Temperatur [°C] 1;Waters Sauerstoff [%] 1;Waters Sauerstoff [mg/l 1];Waters max. Länge 1;Waters max. Breite 1;Waters max. Tiefe 1;Waters max. Auflagentiefe 1;Waters terrestrische Pflanzen 1;Waters Hydrophyten 1;Waters Helophyten 1;Waters Lemna 1;Waters Algen 1;Waters Geruch 1;Waters Zufluss 1;Waters Dynamik 1;Waters Färbung 1;Waters Hydrologie 1;Waters Substrat 1;Waters Uferbewuchs 1;Waters 25m Baum 1;Waters Schatten [%] 1;Waters pH 2;Waters Leitfähigkeit [µS] 2;Waters Salinität 2;Waters Wasserhärte [°dH] 2;Waters Temperatur [°C] 2;Waters Sauerstoff [%] 2;Waters Sauerstoff [mg/l 2];Waters max. Länge 2;Waters max. Breite 2;Waters max. Tiefe 2;Waters max. Auflagentiefe 2;Waters terrestrische Pflanzen 2;Waters Hydrophyten 2;Waters Helophyten 2;Waters Lemna 2;Waters Algen 2;Waters Geruch 2;Waters Zufluss 2;Waters Dynamik 2;Waters Färbung 2;Waters Hydrologie 2;Waters Substrat 2;Waters Uferbewuchs 2;Waters 25m Baum 2;Waters Schatten [%] 2;Waters pH 3;Waters Leitfähigkeit [µS] 3;Waters Salinität 3;Waters Wasserhärte [°dH] 3;Waters Temperatur [°C] 3;Waters Sauerstoff [%] 3;Waters Sauerstoff [mg/l 3];Waters max. Länge 3;Waters max. Breite 3;Waters max. Tiefe 3;Waters max. Auflagentiefe 3;Waters terrestrische Pflanzen 3;Waters Hydrophyten 3;Waters Helophyten 3;Waters Lemna 3;Waters Algen 3;Waters Geruch 3;Waters Zufluss 3;Waters Dynamik 3;Waters Färbung 3;Waters Hydrologie 3;Waters Substrat 3;Waters Uferbewuchs 3;Waters 25m Baum 3;Waters Schatten [%] 3
RS 24;2016;Ol 9;76;Ground;O9NMG;rural;29;19/07/2016;17:00:00;Anopheles claviger/ petragnani;1;0;0;1;NA;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 25;2016;Ol 9;76;Ground;O9NMG;rural;31;02/08/2016;16:00:00;Culiseta morsitans;1;0;0;1;NA;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 26;2016;Ol 9;76;Ground;O9NMG;rural;31;02/08/2016;16:00:00;Culex pipiens c.;4;0;1;4;NA;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 27;2016;Ol 9;76;Ground;O9NMG;rural;31;02/08/2016;16:00:00;Culex p. pipiens;0;17;0;17;NA;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 28;2016;Ol 9;76;Ground;O9NMG;rural;31;02/08/2016;16:00:00;Culiseta annulata;1;1;0;2;NA;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 29;2016;Ol 9;76;Ground;O9NMG;rural;33;15/08/2016;16:30:00;Culex pipiens c.;6;0;0;6;NA;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 30;2016;Ol 9;76;Ground;O9NMG;rural;33;15/08/2016;16:30:00;Culex p. pipiens;0;12;0;12;NA;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 31;2016;Ol 9;76;Ground;O9NMG;rural;35;29/08/2016;16:30:00;Culex pipiens c.;6;0;0;6;NA;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 32;2016;Ol 9;76;Ground;O9NMG;rural;35;29/08/2016;16:30:00;Culex p. pipiens;0;13;0;13;NA;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 33;2016;Ol 9;76;Ground;O9NMG;rural;35;29/08/2016;16:30:00;Culex territans;1;0;0;1;NA;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 34;2016;Ol 9;76;Ground;O9NMG;rural;35;29/08/2016;16:30:00;Culiseta annulata;1;3;1;4;NA;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 35;2016;Ol 9;76;Ground;O9NMG;rural;37;14/09/2016;09:00:00;Culex pipiens c.;11;0;0;11;NA;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 36;2016;Ol 9;76;Ground;O9NMG;rural;37;14/09/2016;09:00:00;Culex p. pipiens;0;10;0;10;NA;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 37;2016;Ol 9;76;Ground;O9NMG;rural;37;14/09/2016;09:00:00;Culex territans;4;1;0;5;NA;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 38;2016;Ol 9;76;Ground;O9NMG;rural;37;14/09/2016;09:00:00;Culiseta annulata;2;0;0;2;NA;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 39;2016;Ol 9;76;Ground;O9NMG;rural;37;14/09/2016;09:00:00;Anopheles Maculipennis C.;0;1;0;1;NA;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 40;2016;Ol 9;76;Ground;O9NMG;rural;39;28/09/2016;16:00:00;Culex pipiens c.;3;0;0;3;NA;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 41;2016;Ol 9;76;Ground;O9NMG;rural;39;28/09/2016;16:00:00;Culex p. pipiens;0;1;0;1;short arm at paraproct;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 42;2016;Ol 9;76;Ground;O9NMG;rural;39;28/09/2016;16:00:00;Culex territans;1;0;0;1;NA;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 43;2016;Ol 9;76;Ground;O9NMG;rural;39;28/09/2016;16:00:00;Culiseta annulata;1;0;0;1;NA;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 44;2016;Ol 9;76;Ground;O9NMG;rural;42;18/10/2016;18:00:00;Culex pipiens c.;1;0;0;1;strong rain;O;9;O9;3400689;5907033;Medium;M;G;conifer;N;Cypress;115;0;O;O;5.6;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 45;2016;Ol 9;162;Ground;O9NLG;rural;18;03/05/2016;14:00:00;NA;0;0;0;0;NA;O;9;O9;3400689;5907033;Large;L;G;conifer;N;Cypress;118;0;SW;SW;7.3;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
 RS 45_2;2016;Ol 9;162;Ground;O9NLG;rural;20;19/05/2016;10:00:00;Culex pipiens c.;1;0;1;1;NA;O;9;O9;3400689;5907033;Large;L;G;conifer;N;Cypress;118;0;SW;SW;7.3;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 46;2016;Ol 9;162;Ground;O9NLG;rural;20;19/05/2016;10:00:00;Culiseta morsitans;6;3;0;9;NA;O;9;O9;3400689;5907033;Large;L;G;conifer;N;Cypress;118;0;SW;SW;7.3;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 47;2016;Ol 9;162;Ground;O9NLG;rural;20;19/05/2016;10:00:00;Anopheles claviger/ petragnani;1;0;0;1;NA;O;9;O9;3400689;5907033;Large;L;G;conifer;N;Cypress;118;0;SW;SW;7.3;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
RS 48;2016;Ol 9;162;Ground;O9NLG;rural;22;31/05/2016;09:00:00;Culiseta morsitans;2;15;0;17;NA;O;9;O9;3400689;5907033;Large;L;G;conifer;N;Cypress;118;0;SW;SW;7.3;250;15;1;0;1;20;0;20;0;0;5;10;50;0;20;5;10;85;14/09/2016;09:30;Graben;3;3400766;5907099;Tränke;1;3400689;5907033;Graben;3;3400662;5907110;6.54;321;0.1;2;17.6;58;5.5;1000;250;25;3;NA;NA;NA;100;NA;indifferenziert;Zu-Abfluss;fließend;gelblich;permanent;Schlamm;Hochstauden/Krautflur;0;0;6.82;236;0;2;18;20;20;150;60;41;10;NA;NA;NA;NA;NA;indifferenziert;kein;Stillwasser;gelblich;temporär;Schlamm;NA;0;0;6.74;673;0.3;1;16.9;102;9.71;200;50;30;3;NA;NA;NA;NA;NA;indifferenziert;Zu-Abfluss;fließend;grünlich;indifferenziert;Blätter;Hochstauden/Krautflur;0;0
